Date,Open_x,High_x,Low_x,Close_x,Volume_x,Aramco_Change_pct,Ticker_x,Aramco_Change_pct_lag_1,Aramco_Change_pct_lag_3,Aramco_Change_pct_lag_5,Aramco_Volatility_5,Aramco_Trend_5,Open_y,High_y,Low_y,Close_y,Volume_y,Al_Rajhi_Change_pct,Ticker_y,Al_Rajhi_Change_pct_lag_1,Al_Rajhi_Change_pct_lag_3,Al_Rajhi_Change_pct_lag_5,Al_Rajhi_Volatility_5,Al_Rajhi_Trend_5,Close,Open,High,Low,Volume,TASI_Change_pct,TASI_Change_pct_lag_1,TASI_Change_pct_lag_3,TASI_Change_pct_lag_5,TASI_Volatility_5,TASI_Trend_5
2022-11-16,27.11144359572597,27.561256408691406,26.784307316460147,27.561256408691406,7382536,1.6591291358981408,2222.SR,-1.7777732938607405,0.5847892601061666,-0.8102943108499017,1.5266228355591807,-0.34298656502349545,77.89844842822295,78.54759933503911,77.62023685375075,78.45486450195312,4169316.0,0.2369643761929829,1120.SR,0.4761953732038471,-0.118914613614085,-0.1170948004513894,0.7321376855711196,-0.16251180622026748,11151.24,11074.91,11151.24,10975.5,130450000.0,0.49,-0.9,0.31,-0.69,0.9015819430312458,-0.45000000000000007
2022-11-17,27.643041336457717,27.72482454832432,27.39768826905849,27.561256408691406,4807159,0.0,2222.SR,1.6591291358981408,-1.889535750876059,-0.2915421763849846,1.5346256073343247,-0.28467812974649853,78.45486404397043,78.64034078427392,77.89844797348835,78.36212921142578,4749564.0,-0.1182020912483206,1120.SR,0.2369643761929829,0.0,-1.4068041668840792,0.2577320181417902,0.09520860890688423,11142.02,11163.32,11169.03,11093.85,107520000.0,-0.08,0.49,-0.44,-1.71,0.5633205126746194,-0.12400000000000008
2022-11-20,27.602147775978917,27.602147775978917,27.397686328991185,27.520362854003903,2450870,-0.1483733327723224,2222.SR,0.0,-1.7777732938607405,0.5847892601061666,1.4641894512738682,-0.43131064832219634,77.62023069882838,78.0839119027048,77.24929139589818,77.43476104736328,2222890.0,-1.1834392115104508,1120.SR,-0.1182020912483206,0.4761953732038471,-0.118914613614085,0.637995325811975,-0.11769631067238895,11053.16,11139.72,11142.82,11022.83,86420000.0,-0.8,-0.08,-0.9,0.31,0.5682253074265492,-0.3460000000000001
2022-11-21,27.520361774703176,27.520361774703176,26.988765808362444,27.07054901123047,4234353,-1.6344764244559884,2222.SR,-0.1483733327723224,1.6591291358981408,-1.889535750876059,1.403885623905071,-0.3802987830381822,77.43476674867655,77.52750158123692,76.7856158455398,77.15655517578125,3347657.0,-0.3592777556475801,1120.SR,-1.1834392115104508,0.2369643761929829,0.0,0.6416473359450442,-0.18955186180190498,10930.51,11034.36,11034.49,10876.84,101730000.0,-1.11,-0.8,0.49,-0.44,0.6664457967456893,-0.4800000000000001
2022-11-22,27.0705515538614,27.438581149033656,26.90698341686251,27.31590461730957,3744145,0.90635622490447,2222.SR,-1.6344764244559884,0.0,-1.7777732938607405,1.2394772311738047,0.1565271207148599,77.15656145391199,77.34203820933892,76.04372922220946,76.87835693359375,3562759.0,-0.3605633268018438,1120.SR,-0.3592777556475801,-0.1182020912483206,0.4761953732038471,0.5226943970280501,-0.35690360180304315,10965.41,10921.21,10965.41,10835.61,80080000.0,0.32,-1.11,-0.08,-0.9,0.6968715807090975,-0.23600000000000013
2022-11-24,27.31590425543746,27.31590425543746,26.98876798577348,27.15233612060547,3342737,-0.5988031478205258,2222.SR,0.90635622490447,-0.1483733327723224,1.6591291358981408,0.9271292500717212,-0.29505933602887346,76.69287210810984,76.78561401367188,75.58003999350579,76.78561401367188,4141519.0,-0.1206359287855063,1120.SR,-0.3605633268018438,-1.1834392115104508,0.2369643761929829,0.4388636955644538,-0.42842366279874095,10938.75,10944.69,10946.02,10799.57,143590000.0,-0.24,0.32,-0.8,0.49,0.5720314676658936,-0.38200000000000006
2022-11-27,27.152335799890125,27.152335799890125,26.98876766699015,27.029659271240234,2275394,-0.4518095563502466,2222.SR,-0.5988031478205258,-1.6344764244559884,0.0,0.9130934823589159,-0.38542124729892274,76.78560823371113,76.78560823371113,74.93088346550762,75.85824584960938,2509102.0,-1.2077368605757033,1120.SR,-0.1206359287855063,-0.3592777556475801,-0.1182020912483206,0.510901117437965,-0.6463306166642175,10796.46,10935.48,10936.52,10744.86,74790000.0,-1.3,-0.24,-1.11,-0.08,0.6638373294716083,-0.6260000000000001
2022-11-28,26.86608941447597,26.906981016102243,26.334491729736328,26.334491729736328,6954732,-2.571869421393591,2222.SR,-0.4518095563502466,0.90635622490447,-0.1483733327723224,1.3119314078881286,-0.8701204650231764,74.6526719201917,76.22918514307928,73.72530953608992,75.85824584960938,4612499.0,0.0,1120.SR,-1.2077368605757033,-0.3605633268018438,-1.1834392115104508,0.4725546944823432,-0.4096427743621273,10746.64,10683.82,10837.48,10577.76,111180000.0,-0.46,-1.3,0.32,-0.8,0.6589537161288315,-0.5580000000000002
2022-11-29,26.66163000020984,27.15233612060547,26.620738395476756,27.15233612060547,6473553,3.1056015785778435,2222.SR,-2.571869421393591,-0.5988031478205258,-1.6344764244559884,2.0983990276100304,0.07789513558358988,75.48730616003199,76.1364570562546,74.46720886230469,74.46720886230469,4034297.0,-1.8337320771461665,1120.SR,0.0,-0.1206359287855063,-0.3592777556475801,0.7880232158803833,-0.7045336386618446,10752.01,10761.95,10826.9,10718.84,109810000.0,0.05,-0.46,-0.24,-1.11,0.6190153471441531,-0.32600000000000007
2022-11-30,27.11144135496428,27.397686004638672,26.94787322885028,27.397686004638672,10117552,0.903605063459012,2222.SR,3.1056015785778435,-0.4518095563502466,0.90635622490447,2.0981278268371972,0.07734490329449828,74.46720886230469,74.46720886230469,74.46720886230469,74.46720886230469,0.0,0.0,1120.SR,-1.8337320771461665,-1.2077368605757033,-0.3605633268018438,0.8420174055659412,-0.6324209733014758,10896.91,10749.86,10896.91,10683.47,169560000.0,1.35,0.05,-1.3,0.32,0.9633535176662802,-0.12000000000000006
